key,text:it,ipa:it,audio:it,audio source:it,tags:it
the sister,la sorella,/la soˈrɛl.la/,[sound:al_it_it_la_sorella.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
the skin,,,,,AnkiLangs::IT
the skirt,la gonna,/la ˈɡonːa/,[sound:al_it_it_la_gonna.mp3],Google Cloud TTS,AnkiLangs::IT
the sky,,,,,AnkiLangs::IT
the snow,,,,,AnkiLangs::IT
the soap,,,,,AnkiLangs::IT
the soldier,,,,,AnkiLangs::IT
the son,il figlio,/il ˈfiʎ.ʎo/,[sound:al_it_it_il_figlio.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the song,,,,,AnkiLangs::IT
the sound,,,,,AnkiLangs::IT
the soup,,,,,AnkiLangs::IT
the south,,,,,AnkiLangs::IT
the spoon,,,,,AnkiLangs::IT
the Spring,,,,,AnkiLangs::IT
the square,,,,,AnkiLangs::IT
the stain,la macchia,/la ˈmakːkja/,[sound:al_it_it_la_macchia.mp3],Google Cloud TTS,AnkiLangs::IT
the star,,,,,AnkiLangs::IT
the store/shop,il negozio,/il neˈɡɔttsjo/,[sound:al_it_it_il_negozio.mp3],Google Cloud TTS,AnkiLangs::IT
the street/road,la strada,/la ˈstraːda/,[sound:al_it_it_la_strada.mp3],Google Cloud TTS,AnkiLangs::IT
the student,,,,,AnkiLangs::IT
the suit,il completo,/il komˈpleːto/,[sound:al_it_it_il_completo.mp3],Google Cloud TTS,AnkiLangs::IT
the Summer,,,,,AnkiLangs::IT
the sun,,,,,AnkiLangs::IT
the T-shirt,la maglietta,/la maʎˈʎetːta/,[sound:al_it_it_la_maglietta.mp3],Google Cloud TTS,AnkiLangs::IT
the table,,,,,AnkiLangs::IT
the teacher,,,,,AnkiLangs::IT
the team,,,,,AnkiLangs::IT
the tear,,,,,AnkiLangs::IT
the telephone,,,,,AnkiLangs::IT
the television,,,,,AnkiLangs::IT
the theater,il teatro,/il teˈaːtro/,[sound:al_it_it_il_teatro.mp3],Google Cloud TTS,AnkiLangs::IT
the time,,,,,AnkiLangs::IT
the tire,la gomma,/la ˈɡomːa/,[sound:al_it_it_la_gomma.mp3],Google Cloud TTS,AnkiLangs::IT
the toe,,,,,AnkiLangs::IT
the tongue,,,,,AnkiLangs::IT
the tool,,,,,AnkiLangs::IT
the tooth,,,,,AnkiLangs::IT
the top,,,,,AnkiLangs::IT
the town,la cittadina; il paese,/la tʃit.taˈdi.na/ /il paˈɛze/,[sound:al_it_it_la_cittadina_il_paese.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
the train,il treno,/il ˈtreno/,[sound:al_it_it_il_treno.mp3],Google Cloud TTS,AnkiLangs::IT
